"name","year","duration","genre","rating","description","director","stars"
"Hobgoblins","1988","1h 28min","Comedy Horror Sci-Fi","2.2","A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.","Rick Sloane","Tom Bartlett Paige Sullivan Steven Boggs"
"Son of the Mask","2005","1h 34min","Comedy Family Fantasy","2.3","Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.","Lawrence Guterman","Jamie Kennedy Traylor Howard Alan Cumming"
"Who's Your Caddy?","2007","1h 33min","Comedy Sport","2.3","When a rap mogul from Atlanta tries to join a conservative country club in the Carolinas he runs into fierce opposition from the board President- but it's nothing that he and his entourage can't handle.","Don Michael Paul","Big Boi Jeffrey Jones Terry Crews"
"Alone in the Dark","2005","1h 39min","Action Horror Sci-Fi","2.4","A detective of the paranormal slowly unravels mysterious events with deadly results.","Uwe Boll","Christian Slater Tara Reid Stephen Dorff"
"Glitter","2001","1h 44min","Drama Music Romance","2.4","A young singer dates a disc jockey who helps her get into the music business, but their relationship becomes complicated as she ascends to super stardom.","Vondie Curtis-Hall","Mariah Carey Eric Benét Max Beesley"
"War of the Worlds","2025","1h 31min","Horror Sci-Fi Thriller","2.5","A colossal invasion of Earth is coming in this off-kilter take on the legendary novel of the same name, filled with present-day themes of technology, government surveillance, and privacy.","Rich Lee","Ice Cube Eva Longoria Iman Benson"
"Epic Movie","2007","1h 26min","Adventure Comedy Fantasy","2.5","A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.","Jason Friedberg","Kal Penn Jennifer Coolidge Fred Willard"
"Dragonball: Evolution","2009","1h 25min","Action Adventure Fantasy","2.5","The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.","James Wong","Justin Chatwin James Marsters Chow Yun-Fat"
"Battlefield Earth","2000","1h 57min","Action Adventure Sci-Fi","2.5","It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.","Roger Christian","John Travolta Forest Whitaker Barry Pepper"
"Cosmic Sin","2021","1h 28min","Action Sci-Fi","2.5","Seven rogue soldiers launch a preemptive strike against a newly discovered alien civilization in the hopes of ending an interstellar war before it starts.","Edward Drake","Frank Grillo Bruce Willis Brandon Thomas Lee"
"Laxmii","2020","2h 21min","Action Comedy Horror","2.5","Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.","Raghava Lawrence","Akshay Kumar Kiara Advani Sharad Kelkar"
"Jeepers Creepers: Reborn","2022","1h 28min","Horror Mystery Thriller","2.6","Forced to travel with her boyfriend, Laine begins to experience premonitions associated with the urban myth of The Creeper. She believes that something supernatural has been summoned - and that she is at the center of it all.","Timo Vuorensola","Jarreau Benjamin Sydney Craven Imran Adams"
"Adipurush","2023","2h 59min","Action Drama","2.6","A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the demon king Lankesh.","Om Raut","Prabhas Kriti Sanon Saif Ali Khan"
"Baby Geniuses","1999","1h 37min","Comedy Crime Family","2.6","Scientists hold super intelligent talking babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.","Bob Clark","Kathleen Turner Christopher Lloyd Kim Cattrall"
"Liger","2022","2h 20min","Action Drama Romance","2.6","A story about martial arts, dreams and star crossed lovers. Liger is an MMA fighter who trains hard and rises up the ranks with one goal in mind, to fight like his idol, world renowned MMA fighter Mark Anderson and get noticed by him.","Puri Jagannadh","Vijay Deverakonda Ananya Panday Ramya Krishnan"
"365 Days: This Day","2022","1h 51min","Drama Romance","2.7","Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.","Barbara Bialowas","Anna-Maria Sieklucka Michele Morrone Simone Susinna"
"The Human Centipede III (Final Sequence)","2015","1h 42min","Comedy Horror","2.7","Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems.","Tom Six","Dieter Laser Laurence R. Harvey Eric Roberts"
"Gigli","2003","2h 1min","Comedy Crime Romance","2.7","Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney, and a beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.","Martin Brest","Ben Affleck Jennifer Lopez Justin Bartha"
"Gunday","2014","2h 32min","Action Drama Musical","2.7","The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.","Ali Abbas Zafar","Ranveer Singh Arjun Kapoor Priyanka Chopra Jonas"
"Gully","2019","1h 24min","Crime Drama","2.7","It follows three disaffected teens through the underbelly of Los Angeles as they navigate the challenges of being marginalized youth in an unforgiving America. When a dark secret is revealed, their friendship may be their only salvation.","Nabil Elderkin","Kelvin Harrison Jr. Jacob Latimore Charlie Plummer"
"Cats","2019","1h 50min","Comedy Drama Family","2.8","A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.","Tom Hooper","James Corden Judi Dench Jason Derulo"
"Meet the Spartans","2008","1h 24min","Comedy Fantasy","2.8","A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.","Jason Friedberg","Sean Maguire Kevin Sorbo Carmen Electra"
"Date Movie","2006","1h 23min","Comedy Romance","2.8","Spoof of romantic comedies which focuses on a woman, her crush, her parents, and her father.","Aaron Seltzer","Alyson Hannigan Adam Campbell Fred Willard"
